Seg_ID,UP_MH,DS_MH,Dia_Inch,Length_Ft,MWL_%,DS_%_depth,defects,Video_Quality,Risk_score,Inspection_ranking
1,36206,36207,42,200,95,0,1,0,1,3
2,36206,36207,60,200,95,0,1,0,1,3
3,36206,36207,60,200,95,0,1,0,1,1
4,36204,838,102,651,80,0,4,1,4,9
5,8197,36206,96,950,75,0,1,1,1,8
6,7683,8197,96,2200,80,0.4,4,0,4,1
7,7667,7683,96,500,60,0,4,1,4,9
8,6977,7667,84,2050,60,0,1,0,1,1
9,6975,6977,84,500,40,0,3,0,3,2
10,6972,6975,84,450,60,0,1,0,1,3
11,6245,6243,96,200,50,0,1,1,2,4
12,4256,4328,96,800,40,0,3,1,3,1
13,4252,4256,96,1600,30,0,5,0,4,9
14,2,4252,96,400,30,0,4,0,4,9
15,2,1.6,78,1594,10,0,1,0,1,10
16,3,2,78,1947,10,0,1,0,1,10
17,4,3,78,2006,10,0,1,0,1,10
18,5,4,78,1761,10,0,1,0,1,10
19,6,5,78,1513,10,0,1,0,1,10
20,7,6,78,821,10,0,1,0,1,10
21,8,7,78,13,10,0,1,0,1,10
22,9,8,78,1599,10,0,1,0,1,10
23,10,9,78,1997,10,0,1,0,1,10
24,11,10,78,1988,10,0,1,0,1,10
25,12,11,78,1927,40,0,4,1,4,9
26,13,12,78,1919,50,0,1,1,2,1
27,14,13,78,1569,10,0,1,0,1,10
28,15,14,78,1123,10,0,1,0,1,10
29,16,15,78,45,40,0,1,0,2,1
30,17,16,72,1860,40,0,6,0,5,9
31,18,17,78,46,45,0,1,0,2,1
32,19,18,84,1532,25,0,1,1,2,4
33,20,19,84,40,30,0,1,1,2,4
34,21,20,84,1368,40,0,1,1,2,4
35,22,21,84,2000,10,0,1,0,1,10
36,23,22,84,1974,40,0.1,1,1,4,4
37,24,23,84,2031,40,0,1,1,2,4
38,25,24,84,1986,45,0,1,0,2,3
39,26,25,84,2177,40,0,1,0,2,3
40,27,26,84,2100,30,0,3,1,3,2
41,28,27,84,8835,10,0,1,0,1,10
42,29,28,78,3310,20,0,4,1,4,9
43,30,29,78,1028,20,0,1,1,2,1
44,31,30,84,5301,40,0,4,1,4,2
45,32,31,66,1674,40,0,1,1,2,4
46,33,32,66,2010,40,0,1,1,2,4
47,34,33,66,2024,40,0,1,1,2,4
48,35,34,66,1900,40,0,1,0,2,3
49,36,35,66,1780,40,0,1,0,2,3
50,37,36,66,2146,40,0,1,0,2,3
51,38,37,72,1433,40,0,1,1,2,4
52,39,38,72,3384,40,0,1,0,2,3
53,40,39,72,583,30,0,1,0,2,3
54,41,40,72,1637,35,0.02,1,1,2,4
55,42,41,72,1967,40,0,2,1,3,2
56,43,42,72,1954,35,0,1,1,2,4
57,44,43,72,1779,35,0,1,1,2,4
58,45,44,72,1921,45,0,1,1,2,4
59,46,45,72,1757,50,0.02,1,0,2,3
60,47,46,72,1800,40,0.04,1,1,2,4
61,48,47,72,1982,50,0,1,1,2,5
62,49,48,72,1982,30,0.07,1,0,3,3
63,50,49,72,1973,25,0,1,1,3,2
64,51,50,72,1196,25,0,1,1,2,5
65,52,51,66,1463,25,0,1,1,2,5
66,53,52,66,1568,25,0,1,1,2,5
67,53.8,53,66,3143,25,0.03,1,0,2,3
68,54,53.8,66,1970,30,0.02,1,1,2,5
69,55,54,66,2470,30,0,1,1,2,5
70,56,55,54,1289,40,0,1,1,2,5
71,57,56,54,1303,45,0,1,1,2,1
72,58,57,54,1180,40,0,5,1,4,9
73,58.33,58,48,385,40,0,1,1,2,1
74,59,58.33,48,596,40,0,1,1,2,5
75,60,59,48,990,45,0,1,1,2,5
76,61,60,48,985,40,0,1,1,2,5
77,62,61,48,907,40,0,1,1,2,5
78,63,62,48,991,40,0,1,1,2,5
79,64,63,48,989,40,0,3,1,3,2
80,65,64,48,878,40,0,1,1,2,5
81,66,65,48,895,50,0,1,1,2,5
82,67,66,48,909,40,0,1,1,2,5
83,68,67,48,934,40,0,1,1,2,5
84,68.8,68,48,92,40,0,1,1,2,5
85,68.81,68.8,48,372,40,0,1,1,2,5
86,69,68.81,48,450,40,0,1,0,2,3
87,70,69,48,981,40,0,1,1,2,5
88,70.33,70,48,566,35,0,1,1,2,5
89,70.8,70.33,48,344,35,0,1,1,2,5
90,71,70.8,48,13,35,0,1,1,2,5
91,72,71,48,1003,35,0.08,1,1,3,1
92,73,72,42,481,35,0,4,1,4,9
93,73.8,73,40,45,45,0.06,1,1,3,1
94,74,73.8,40,543,50,0.16,1,1,4,8
95,75,74,42,980,30,0,1,1,2,5
96,76,75,42,990,30,0,1,1,2,6
97,77,76,42,492,30,0,2,1,3,2
98,78,77,42,578,30,0,1,1,2,6
99,79,78,42,591,30,0,1,1,2,6
100,80,79,42,494,30,0,1,1,2,6
101,80.2,80.83,24,179,25,0.04,1,1,2,6
102,80.8,80,24,496,15,0,1,1,1,8
103,80.81,80.8,24,501,15,0,1,1,1,8
104,80.82,80.81,24,257,15,0,1,1,1,8
105,80.83,80.82,24,450,10,0.04,1,1,2,6
106,81,80,42,599,30,0,1,1,2,6
107,82,81,42,502,30,0,1,1,2,6
108,83,82,42,590,30,0.11,1,1,4,6
109,84,83,36,488,30,0.25,1,1,4,6
110,85,84,36,496,30,0,1,1,2,6
111,86,85,36,498,30,0,1,1,2,6
112,87,86,36,383,40,0.25,1,1,4,6
113,88,87,36,501,30,0.08,1,1,3,6
114,89,88,36,501,30,0,1,1,2,6
115,90,89,36,487,30,0,1,1,2,6
116,91,90,36,495,30,0,1,1,2,6
117,92,91,36,495,30,0,1,1,2,6
118,93,92,30,476,30,0,1,1,2,6
119,94,93,30,351,30,0,1,1,2,6
120,95,94,30,331,30,0,1,1,2,6
121,96,95,36,490,30,0,1,1,2,6
122,97,96,36,500,30,0,1,1,2,6
123,98,97,36,501,30,0.09,1,1,3,6
124,99,98,36,493,30,0,1,1,2,6
125,100,99,36,488,30,0,2,1,3,2
126,101,100,36,502,25,0,2,1,3,2
127,102,101,36,429,35,0,1,1,2,6
128,103,102,36,173,35,0,1,1,2,6
129,103.2,103.81,24,252,15,0.12,1,1,4,8
130,103.8,103,24,135,15,0,1,1,1,8
131,103.81,103.8,24,431,15,0.12,2,0,4,2
132,104,103,30,375,40,0,1,1,2,6
133,105,104,30,445,40,0,1,1,2,6
134,106,105,30,525,40,0,1,1,2,6
135,107,107.8,30,11,50,0.12,1,1,4,6
136,107.2,107.84,30,195,20,0,1,1,1,8
137,107.8,106,30,266,50,0.09,1,1,3,6
138,107.81,107.8,30,462,40,0,1,1,1,8
139,111,110,30,494,25,0,1,1,2,6
140,107.82,107.81,30,390,25,0,1,1,1,8
141,112,111,30,495,25,0.01,1,1,2,6
142,107.83,107.82,30,35,25,0,1,1,1,8
143,113,112,30,496,25,0,1,1,2,6
144,107.84,107.83,30,313,25,0,1,1,1,8
145,114,113,30,496,25,0,1,1,2,6
146,107,108,30,20,20,0,3,1,3,2
147,115,114,30,483,25,0.04,1,1,2,6
148,108,106,30,300,20,0,3,1,3,2
149,115.8,115,30,283,25,0,1,1,2,6
150,108,107,30,445,55,0,1,1,2,6
151,116,115.8,30,209,25,0,1,1,2,6
152,109,108,30,304,55,0,1,1,2,6
153,117,116,30,496,25,0.02,1,1,2,6
154,110,109,30,353,25,0,1,1,2,6
155,118.2,117,30,444,55,0.12,1,1,4,6
156,224,223,42,486,40,0,1,1,2,6
157,223,222,42,447,30,0,1,1,2,6
158,222,221,42,600,50,0,2,1,3,2
159,221,220,42,749,50,0,2,1,3,2
160,220,219,42,454,50,0,3,1,3,2
161,219,218,42,592,50,0,1,1,2,6
162,218,217,42,610,50,0,1,1,2,6
163,217,216,48,599,50,0,1,1,2,6
164,216,215,48,1289,50,0,1,0,2,3
165,215,214,48,857,50,0,1,1,2,6
166,214,213,48,979,50,0,1,1,2,6
167,213,212,54,1272,40,0,1,1,3,2
168,211,210,54,702,25,0,1,0,2,3
169,210,209,54,1349,25,0,1,1,2,6
170,209,208.2,66,144,25,0.1,1,1,4,6
171,208.2,208,66,2708,30,0,1,1,2,7
172,208,207,54,720,25,0,1,1,2,7
173,207,206,54,1182,50,0,1,1,2,7
174,206,205,54,1214,45,0,1,0,2,3
175,205,204,54,788,45,0,1,1,2,7
176,204,203,54,1043,40,0,1,1,2,7
177,203,202,54,939,40,0,1,1,2,7
178,202,201,54,878,40,0,1,1,2,7
179,201,200,54,1443,40,0,1,0,2,1
180,208,208,66,2659,20,0,4,1,4,9
181,200,29,54,105,20,0,1,1,2,1
182,325,324,36,604,50,0,1,1,2,7
183,324,323,36,602,50,0,1,1,2,7
184,323,322,36,504,50,0,1,1,2,7
185,322,321,36,542,50,0,1,1,2,7
186,321,320,36,550,50,0,3,1,3,2
187,320,319,36,488,50,0,1,1,2,7
188,319,318,36,508,50,0,1,1,2,7
189,318,317,36,456,50,0,1,1,2,7
190,317,316,36,473,50,0,1,1,2,7
191,316,315,36,596,50,0,1,1,2,7
192,315,314,36,528,40,0,1,1,2,7
193,314,313,36,443,40,0,1,1,2,7
194,313,312,42,632,25,0,1,1,2,7
195,312,311,42,515,25,0,1,1,2,7
196,311,310,42,630,25,0,1,1,2,7
197,310,309,42,718,25,0,1,1,2,7
198,309,308,42,694,30,0,1,0,2,3
199,308,307,42,601,25,0,1,1,2,7
200,307,306,42,593,25,0,1,1,2,7
201,306,305,42,700,25,0,1,1,2,7
202,305,304,42,676,30,0,1,0,2,3
